query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-10-19T09:40:44Z,11.58,Почему бусификация убила обороноспособность Украины?,Tommy Vercetti,https://www.youtube.com/watch?v=kbmSPKztSDc,
бусификация,2025-10-18T16:41:40Z,0.23,🤬ТЦК пробиває чергове дно‼️Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=HI2MNXl_DBo,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-18T15:17:55Z,0.17,😎ТЦКашніка покатали на капоті.Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=6dt60c_8R8E,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-18T09:22:17Z,2.0,Репост!Шукають свідків! Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=H3gJ9S8dzr4,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-18T09:01:31Z,14.1,Янчук Валерий Николаевич. 60 ОМБр #бусификация #война #пленныевсу #лиман #зсу,Устами ПЛЕННОГО,https://www.youtube.com/watch?v=xu6fN3zXkwQ,"ТЦК забрали прямо с кладбища живого и планировали отправить снова на кладбище, но уже мертвого, но он смог ..."
бусификация,2025-10-18T05:13:55Z,0.55,👀Що заважає ТЦК зайти у спортзал?Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=5M_oIvM-AYs,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T16:53:56Z,0.95,🤬Київ.Чергова бусифікація.Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=svwuaTgkKes,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T12:40:14Z,0.65,🤬Поліція крутить ветерана з протезом‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=qUP7AU3Xdnk,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T12:24:10Z,0.23,🤬Коли закон на паузі... Підпишись♥️щоб знати більше#бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=yiFc_c6zP9Y,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T09:01:37Z,1.23,Разумков: про бусифікацію 55+.#новини #україна #разумков #бусифіксція #тцк,Політичний Фронт,https://www.youtube.com/watch?v=wyjrF5kp7vs,
бусификация,2025-10-17T02:19:20Z,0.65,😎Об&#39;єднані ми сила💪Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк #силова,Реалії України 🇺🇦,https://www.youtube.com/watch?v=3BBIRNBvN8Y,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-16T08:58:23Z,0.8,🤬Львів.Це згідно якого закону⁉️Підпишись♥️щоб знати більше #бусификация #бусифікація #силова #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=5pbtv9uaPeY,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-16T08:30:18Z,0.5,"🤬Це вже фільтрація населення чи,ще ні?Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк",Реалії України 🇺🇦,https://www.youtube.com/watch?v=guda2up-jnI,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-16T02:52:18Z,1.72,🤬Воювати вони навчені...з народом‼️Підпишись♥️щоб знати більше #бусификация #тцк #бусифікація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=g_5IPeWoELk,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-16T02:44:14Z,0.12,😎Спритність рятує‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #силова #тцк #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Fft_cuwOJdM,
бусификация,2025-10-16T02:30:58Z,0.63,🤬Народ став кріпаками?Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк #поліція #силова,Реалії України 🇺🇦,https://www.youtube.com/watch?v=MqBYH6-1CaU,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-15T15:48:57Z,0.33,ТЦК бусифицировали инвалида!,Недомобилизованный Украинец,https://www.youtube.com/watch?v=_wo4hHuOCpo,"Я, конечно, понимаю - мобилизация и всё такое... Но как думаете - это реальная бусификация, и его везут в ТЦК?"
бусификация,2025-10-15T13:32:16Z,2.03,🤯Жесть у Тернополі‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #силова #тцк #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=WEeNl0WKUmc,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-15T07:28:24Z,0.63,🤬Наслідки праці людоловів ТЦК‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #силова #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=gciOqni7eRs,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-15T04:38:27Z,0.1,🤬ТЦК автівкою хочуть сбити людину‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #силова,Реалії України 🇺🇦,https://www.youtube.com/watch?v=CNKWZ7v7hZA,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-15T02:32:54Z,0.35,🤬Коли Конституція на паузі‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=ZxYTyosqpsk,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-14T16:38:06Z,0.32,Бусификация классик !, WAR in UKRAINE 2022 !,https://www.youtube.com/watch?v=iK8DbSDTP6I,ВСЕМ КТО ХОЧЕТ ПОМОЧЬ ЛЮДЯМ ВЫЖИТЬ : TO EVERYONE WHO WANTS TO HELP PEOPLE SURVIVE: MONOBANK ...
бусификация,2025-10-14T15:42:15Z,0.2,🤬Черкаси.Оповіщення ТЦК. #бусификация #бусифікація #поліція.Підпишись♥️щоб знати більше,Реалії України 🇺🇦,https://www.youtube.com/watch?v=mQEGrVUfyRw,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-14T15:06:13Z,12.57,ТЦК и Бусификация !!! | Контуженный угрожает автоматом ??!!,Arthur [FreeMan],https://www.youtube.com/watch?v=CQ7792HkAvI,тцк #армия #войнавукраине #мобилизация #зсу #полиция #сзч.
бусификация,2025-10-14T15:01:02Z,0.48,🤬Київ не оминула бусифікація‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=pG7VrMBPIEo,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-14T14:55:21Z,0.13,🤬Щось не видно бодікамер. #бусификация #бусифікація #силова #тцк #поліція #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Va3EYU1OI2g,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-14T14:50:00Z,8.78,Бусификация в Украине — ТЦК продолжают охотиться на людей,Недомобилизованный Украинец,https://www.youtube.com/watch?v=3wyQRjZjwps,"Бусификация в Украине продолжается. В этом выпуске — свежие случаи и новые “подвиги” ТЦК. Мы разбираем, как ..."
бусификация,2025-10-14T05:54:55Z,0.18,Бусификация на Семена Палия,Одесса в Сердце ,https://www.youtube.com/watch?v=YDoMvVOIv1w,
бусификация,2025-10-13T11:46:24Z,1.65,🤬Це так поліція з народом?Підпишись♥️щоб знати більше #бусификация  #бусифікація #тцк #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=xRGFJ1_VAp8,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-13T07:41:43Z,0.17,"ТЦК пришли бусифицировать сына, но что-то пошло &quot;не так&quot;",Недомобилизованный Украинец,https://www.youtube.com/watch?v=bWGY-w7rGMA,Бусификация с неожиданным финалом. Бабуля - молодец! Это только фрагмент! Полный выпуск: “Бусификация 2.0 ...
бусификация,2025-10-13T06:58:42Z,0.28,🤬Таку поліцію в окопи!Від неї толку не має‼️ #бусификация #бусифікація #силова #тцк #поліція #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=KELtxXstXcA,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-19T16:49:26Z,0.77,🤬ТЦК ОЗВІРІЛИ в край‼️Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=6iZmnQsWxhE,
бусификация,2025-10-19T14:42:57Z,2.65,🔥 Які ж наслідки бусифікації⁉️ Чого чекати далі❓,Сергій Доротич,https://www.youtube.com/watch?v=jlRVgnjcGA8,
бусификация,2025-10-19T07:17:16Z,1.0,🤬Свавілля поліції‼️Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк #силова #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=oTS6D-MhW9Q,
бусификация,2025-10-19T01:47:23Z,0.57,🤬Поліцейські б&#39;ють мобілізованого.Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=w_FzAZvpRdk,На данний час цих працівників поліції затримано.Їм загрожує позбавлення волі від 3 до 8 років. Дякую всім за репости ...
бусификация,2025-10-18T09:27:17Z,0.8,🤬ТЦК викрали Самокат‼️Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Vo8P0_lgUh4,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-18T02:39:17Z,0.57,🙄ТЦК тікає від розлючених людей.Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=D-KtAGboxBo,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T07:29:11Z,0.95,🤬Невідомі особи крутять чоловіка‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=nbZMZqqBGic,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-17T07:17:17Z,0.85,🤯ТЦК тікає від жінок‼️ Підпишись♥️щоб знати більше#бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=t2WDLyd95-s,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
бусификация,2025-10-16T08:53:21Z,1.08,🤬Київ.ТЦК відчули безкарність‼️Підпишись♥️щоб знати більше #бусификация #бусифікація #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=lK6ChTGWxv0,Дисклеймер: Канал «Реалії України» створено з метою інформування суспільства та висвітлення актуальних подій у країні.
