query,publishedAt,duration_min,title,channelTitle,url,description
тцк,2026-01-18T20:27:52Z,0.52,Ваша думка?🤔 #гур #буданов #бусифікація #політика #тцк #бусификация,Vladyslav Lysiak ,https://www.youtube.com/watch?v=eOblia8Ir74,
бусификация,2026-01-18T06:00:30Z,0.22,Невже почалось?😳Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк #новини,ЗлийКіт,https://www.youtube.com/watch?v=hjPPVV0JIc0,
бусификация,2026-01-18T03:36:58Z,13.33,"ВОЙНА НЕ ДЛЯ ВСЕХ🤑💰💥 МОБИЛИЗАЦИЯ- БУСИФИКАЦИЯ,ТОЛЬКО ДЛЯ БЕДНЫХ😡",Евгений Савицкий,https://www.youtube.com/watch?v=7D8sVDW1iv0,ПРАВДА ОТ АЙДАРОВЦА.
тцк,2026-01-17T21:59:16Z,0.47,Вони не очікували камер...📹 #тцк #бусифікація #новини #бусификация #мобілізація,Vladyslav Lysiak ,https://www.youtube.com/watch?v=lkYZXlHQNGk,
бусификация,2026-01-17T10:24:23Z,13.33,ИЗБИРАТЕЛЬНАЯ МОБИЛИЗАЦИЯ-БУСИФИКАЦИЯ 💰👊 ВОЙНА НЕ ДЛЯ ВСЕХ💰🤑,ВЫЖИТЬ В УКРАИНЕ ,https://www.youtube.com/watch?v=LduIezkzZ08,ПОБУРЧИМ С ВЕТЕРАНОМ АЙДАР https://youtube.com/channel/UCRVa2ggZT_P14RdMoxbv8eg?si=Veczs4d9IkA3D3fw ...
бусификация,2026-01-17T04:29:10Z,6.08,Чат-рулетка - ГудбайРаша - Да Здравствует БУСИФИКАЦИЯ!,MadLands: Onslaught,https://www.youtube.com/watch?v=jwHpej_49As,RussiaGoodbye слился на вопросе о БУСИФИКАЦИИ.
бусификация,2026-01-16T19:40:48Z,0.47,Одесса. Бусификация. Серіал  &quot;Людолови&quot;, WAR in UKRAINE 2022 !,https://www.youtube.com/watch?v=enNdy3ekmPA,ВСЕМ КТО ХОЧЕТ ПОМОЧЬ ЛЮДЯМ ВЫЖИТЬ : TO EVERYONE WHO WANTS TO HELP PEOPLE SURVIVE: MONOBANK ...
бусификация,2026-01-16T10:09:13Z,2.57,ТЦК - лучшая социальная служба для украинских мужчин!!!!  #тцк  #бусификация,Igor Severov©,https://www.youtube.com/watch?v=ILtADR4Bf68,
бусификация,2026-01-16T04:01:01Z,0.17,Не догнав та дуже засмутився😂Підпишись🔥підтримай поширення #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=wJi5KzM_NpU,
бусификация,2026-01-15T05:01:06Z,1.75,ТЦК побили та обікрали військового🤯Підпишись🔥підтримай поширення #бусификация #бусифікація #news,ЗлийКіт,https://www.youtube.com/watch?v=qaubVT3xr0g,
бусификация,2026-01-14T16:02:55Z,0.47,Серіал &quot;Людолови&quot;. Бусификация.  Днепр, WAR in UKRAINE 2022 !,https://www.youtube.com/watch?v=jQPOi1H1AGQ,ВСЕМ КТО ХОЧЕТ ПОМОЧЬ ЛЮДЯМ ВЫЖИТЬ : TO EVERYONE WHO WANTS TO HELP PEOPLE SURVIVE: MONOBANK ...
бусификация,2026-01-14T13:24:13Z,8.4,СТОП БУСИФИКАЦИЯ,НЕ правовое государство,https://www.youtube.com/watch?v=8qnQLChPe18,Стать спонсором канала - https://www.youtube.com/channel/UCp7HWABmkkNM960mu6SlWSA/join ...
бусификация,2026-01-14T05:00:24Z,0.17,ТЦК.Місія провалена😁Підпишись🔥підтримай поширення #бусификация #бусифікація #news #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=OsLavu40pwg,
бусификация,2026-01-13T05:00:38Z,0.13,Нічого не нагадує?Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк #новини,ЗлийКіт,https://www.youtube.com/watch?v=VN_DySabUHc,
