query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-07-27T16:56:01Z,0.9,🙄Київ. Готують потужне поповнення... #тцк #бусификация,Реалії України 🇺🇦,https://www.youtube.com/watch?v=CouPtcdPYpk,"Київ. Тотальне порушення конституції, прав та свобод звичайних громадян. Влада і її представники просто плюють на закон ..."
тцк,2025-07-26T20:29:36Z,0.77,26-07-2025 Ещё одно доказательство жестокости Путина - это бусификация и #ТЦК на Украине,sastik,https://www.youtube.com/watch?v=wMRKPBhs_3c,"Ещё одно доказательство жестокости Путина - это бусификация и ТЦК на Украине, по мнению Макфола #стасайкакпросто ..."
бусификация,2025-07-26T16:30:11Z,5.47,СРОЧНО!В Москве контролеры отбирают паспорта у мужчин! Бусификация?,Иоганн Себастьян,https://www.youtube.com/watch?v=zUtFaP67A7Q,"В Москве контролер метро изъял у пассажира паспорт. С какой целью - решайте сами. Заметим, что у контролеров нет ..."
бусификация,2025-07-26T09:34:03Z,1.33,🙄Полтава.Люди заблокували бус ТЦК. Частина#2 #силова #бусификация #бусифікація #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=M5ViaVraIzU,
бусификация,2025-07-26T09:31:42Z,0.98,🙄Полтава. Люди заблокували бус ТЦК. Частина#1 #силова #бусификация #бусифікація #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=p1xtN8eXs3g,
бусификация,2025-07-26T09:28:22Z,1.32,🙄Вишгород. Тітушки в законі. #тцк #силова #бусификация #бусифікація #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=gECnHsQMiYw,
бусификация,2025-07-26T07:07:32Z,0.87,🤬ТЦК і поліція збили мотоцикліста. #силова #бусификация #бусифікація #поліція #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=xw0g9p8s5jg,"В Рівненській області поліція і ТЦК збили мотоцикліста. В результаті пригоди, мотоцикліст зламав ногу. Його забрала ..."
бусификация,2025-07-26T07:05:03Z,1.18,ЗАПОРОЖЬЕ ТЦК.ДОБРОВОЛЬНАЯ БУСИФИКАЦИЯ,Шо там,https://www.youtube.com/watch?v=ejhdwBSXzwc,
бусификация,2025-07-26T03:48:58Z,0.32,😁Дієвий метод проїзду блокпостів ТЦК #тцк #силова #бусификация #бусифікація #поліція #военкомат,Реалії України 🇺🇦,https://www.youtube.com/watch?v=diBjMWovm_g,
бусификация,2025-07-25T14:55:59Z,0.23,😎У Львові чоловік втік від ТЦК #бусификация #силова #бусифікація #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Kcg7dyN4E7Y,
