8ce3ed5c1fc92f254011bf178ff8e9c062cdeb53,DELETE,regular-file,Applications/Socrates-bot/Socrates-bot v0.3/ChatGPT/pdfs.zip,6992204,
abd36a3e881611a6cd3fe7664be175adff60a289,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/audio_evidence_viktor_krasnikov/mp3/voice_23-09-2025_12-25-33 (online-audio-converter.com).mp3,6532745,
289de9b337544ad61d8a3963d6fe5c552dddcba3,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/audio_evidence_viktor_krasnikov/voice_23-09-2025_12-25-33,5606544,
2b0a0a9b36b66302c0f40bafca821e5bb4d91aa5,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/contextual_materials/Screenshot 2025-12-10 at 23.11.25.png,5091367,
e700db6aa1ddb1d9384052cd2acbc8883cee1ac1,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/contextual_materials/Screenshot 2026-02-15 at 21.26.19.png,4187328,
91270e6ccff75391da1a12d59023776ee13be134,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/contextual_materials/Screenshot 2026-02-15 at 21.30.28.png,4265369,
49740c915f9c34cd062883042d8d38063fb60565,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/contextual_materials/Screenshot 2026-02-15 at 22.44.03.png,4851417,
069b99d9a53ee7276cfe099148e19a510993f742,DELETE,regular-file,Community/19112025_Berlin_Bundestag_SoloPerformance/photos/docs_grandpa_payment.png,5701038,
2fb990d625479f6ea4581c71f97babe64fc7ad98,DELETE,regular-file,Data/Gemini_Generated_Image_58pw9e58pw9e58pw.png,6839273,
5d706fab46f6c34950ea8f9f546b64ade4f8612d,DELETE,regular-file,Data/Gemini_Generated_Image_7dn5ww7dn5ww7dn5.png,6257771,
fe7079ac2eaebd70944deda3672086468992160e,DELETE,regular-file,Data/Gemini_Generated_Image_vh53i0vh53i0vh53.png,6579841,
27fab8e40da920aa18b96c9477182d3d9680ce39,DELETE,regular-file,LaTeX/S.V.E. XII: SYSTEM - Diagnosis, Geometry of the Fall: Unveiling Collective Unconscious Dynamics, and the S.V.E. Response-Path to Collective Awareness/fig/inequality_illustration.png,10083735,
